	combo	count
511	black	144548
516	light	141371
513	white	134712
524	red	121668
515	dark	83873
520	blue	78290
525	gold	71065
500	pig	39569
510	brown	31879
512	grey	26562
518	yellow	24626
495	lion	22565
480	bat	20680
504	shark	17984
514	pink	17616
487	elephant	15994
519	orange	15508
490	goat	14588
505	sheep	14547
501	pigeon	8449
523	amber	8412
517	spots	8401
485	deer	7936
484	crow	7850
521	tan	7093
486	dolphin	6285
508	swan	6153
491	gorilla	5594
499	panther	4562
481	beaver	4005
498	panda	3735
482	boar	3173
503	rhino	2517
509	zebra	2465
506	skunk	2392
489	giraffe	2320
502	polar_bear	2014
497	mammoth	1970
492	grizzly	1945
483	cheetah	1927
493	hippo	1778
488	flamingo	1259
507	sloth	1005
496	llama	881
401	black sheep	866
305	black panther	724
387	white shark	456
494	killer_whale	439
522	tawny	352
308	pink panther	338
449	black swan	322
115	white elephant	251
254	red lion	196
451	white swan	175
116	pink elephant	165
65	black crow	141
94	red deer	103
132	pink flamingo	102
241	black lion	98
369	black rhino	94
371	white rhino	73
243	white lion	72
302	red panda	67
1	black bat	63
321	black pig	52
255	gold lion	50
394	blue shark	49
67	white crow	45
403	white sheep	43
42	blue boar	40
161	black goat	38
250	blue lion	37
323	white pig	31
324	pink pig	27
314	blue panther	25
339	white pigeon	22
385	black shark	20
106	blue dolphin	19
122	blue elephant	19
179	white gorilla	18
458	blue swan	17
83	white deer	16
114	grey elephant	13
100	pink dolphin	13
163	white goat	13
334	red pig	12
99	white dolphin	12
162	grey goat	10
0	brown bat	10
14	red bat	10
17	black beaver	10
97	black dolphin	9
355	white polar_bear	9
474	blue zebra	9
74	blue crow	8
160	brown goat	8
335	gold pig	8
78	red crow	8
325	dark pig	8
113	black elephant	8
55	spots cheetah	8
306	grey panther	8
410	blue sheep	8
16	brown beaver	7
248	yellow lion	7
320	brown pig	7
307	white panther	7
453	dark swan	7
98	grey dolphin	7
178	grey gorilla	7
330	blue pig	7
170	blue goat	6
390	light shark	6
30	red beaver	6
177	black gorilla	6
3	white bat	6
18	grey beaver	6
465	black zebra	6
337	black pigeon	6
126	red elephant	6
72	yellow crow	5
244	pink lion	5
152	yellow giraffe	5
127	gold elephant	5
175	gold goat	5
384	brown shark	5
336	brown pigeon	5
121	orange elephant	5
378	blue rhino	5
81	black deer	5
419	white skunk	4
2	grey bat	4
346	blue pigeon	4
338	grey pigeon	4
467	white zebra	4
10	blue bat	4
192	brown grizzly	4
454	light swan	4
154	blue giraffe	4
110	red dolphin	4
424	yellow skunk	4
289	black panda	4
404	pink sheep	4
386	grey shark	4
402	grey sheep	3
168	yellow goat	3
129	black flamingo	3
180	pink gorilla	3
6	light bat	3
398	red shark	3
400	brown sheep	3
328	yellow pig	3
212	pink hippo	3
247	spots lion	3
430	red skunk	3
405	dark sheep	3
382	red rhino	3
148	pink giraffe	3
376	yellow rhino	3
472	yellow zebra	2
298	blue panda	2
414	red sheep	2
340	pink pigeon	2
90	blue deer	2
69	dark crow	2
291	white panda	2
186	blue gorilla	2
313	orange panther	2
174	red goat	2
310	light panther	2
463	gold swan	2
417	black skunk	2
416	brown skunk	2
218	blue hippo	2
35	white boar	2
9	orange bat	2
151	spots giraffe	2
142	red flamingo	2
33	black boar	2
138	blue flamingo	2
80	brown deer	2
131	white flamingo	2
86	light deer	1
256	brown llama	1
51	white cheetah	1
88	yellow deer	1
352	brown polar_bear	1
411	tan sheep	1
34	grey boar	1
344	yellow pigeon	1
144	brown giraffe	1
8	yellow bat	1
422	light skunk	1
145	black giraffe	1
242	grey lion	1
351	gold pigeon	1
240	brown lion	1
431	gold skunk	1
393	orange shark	1
392	yellow shark	1
79	gold crow	1
389	dark shark	1
388	pink shark	1
226	grey killer_whale	1
25	orange beaver	1
95	gold deer	1
21	dark beaver	1
66	grey crow	1
112	brown elephant	1
56	yellow cheetah	1
15	gold bat	1
318	red panther	1
322	grey pig	1
362	blue polar_bear	1
5	dark bat	1
227	white killer_whale	1
173	amber goat	1
468	pink zebra	1
471	spots zebra	1
158	red giraffe	1
194	grey grizzly	1
193	black grizzly	1
46	red boar	1
190	red gorilla	1
206	red grizzly	1
209	black hippo	1
49	black cheetah	1
164	pink goat	1
211	white hippo	1
155	tan giraffe	1
462	red swan	1
166	light goat	1
478	red zebra	1
216	yellow hippo	1
165	dark goat	1
7	spots bat	0
373	dark rhino	0
374	light rhino	0
19	white beaver	0
20	pink beaver	0
375	spots rhino	0
45	amber boar	0
377	orange rhino	0
22	light beaver	0
379	tan rhino	0
380	tawny rhino	0
372	pink rhino	0
477	amber zebra	0
381	amber rhino	0
23	spots beaver	0
383	gold rhino	0
24	yellow beaver	0
475	tan zebra	0
26	blue beaver	0
27	tan beaver	0
54	light cheetah	0
464	brown zebra	0
4	pink bat	0
353	black polar_bear	0
466	grey zebra	0
354	grey polar_bear	0
363	tan polar_bear	0
357	dark polar_bear	0
358	light polar_bear	0
359	spots polar_bear	0
470	light zebra	0
360	yellow polar_bear	0
11	tan bat	0
361	orange polar_bear	0
469	dark zebra	0
473	orange zebra	0
12	tawny bat	0
364	tawny polar_bear	0
356	pink polar_bear	0
365	amber polar_bear	0
13	amber bat	0
366	red polar_bear	0
461	amber swan	0
479	gold zebra	0
367	gold polar_bear	0
368	brown rhino	0
57	orange cheetah	0
370	grey rhino	0
47	gold boar	0
447	gold sloth	0
53	dark cheetah	0
391	spots shark	0
433	black sloth	0
37	dark boar	0
38	light boar	0
39	spots boar	0
425	orange skunk	0
426	blue skunk	0
40	yellow boar	0
427	tan skunk	0
450	grey swan	0
428	tawny skunk	0
429	amber skunk	0
41	orange boar	0
