	index	Unnamed: 0	combo	count	is combo	is color combo	is animal	is color	is adjective	adjective	animal	adjective count	animal count	forward tp	backward tp	canonical color	canonical color count	most common non-canonical color	most common non-canonical color count
0	0	511	black	144548	False	False	False	True	True	black		144548.0		1.0					
1	1	516	light	141371	False	False	False	True	True	light		141371.0		1.0					
2	2	513	white	134712	False	False	False	True	True	white		134712.0		1.0					
3	3	524	red	121668	False	False	False	True	True	red		121668.0		1.0					
4	4	515	dark	83873	False	False	False	True	True	dark		83873.0		1.0					
5	5	520	blue	78290	False	False	False	True	True	blue		78290.0		1.0					
6	6	525	gold	71065	False	False	False	True	True	gold		71065.0		1.0					
7	7	500	pig	39569	False	False	True	False	False		pig		39569.0		1.0	pink pig	27.0	black pig	52.0
8	8	510	brown	31879	False	False	False	True	True	brown		31879.0		1.0					
9	9	512	grey	26562	False	False	False	True	True	grey		26562.0		1.0					
10	10	518	yellow	24626	False	False	False	True	True	yellow		24626.0		1.0					
11	11	495	lion	22565	False	False	True	False	False		lion		22565.0		1.0	brown lion	1.0	red lion	196.0
12	12	480	bat	20680	False	False	True	False	False		bat		20680.0		1.0	black bat	63.0	brown bat	10.0
13	13	504	shark	17984	False	False	True	False	False		shark		17984.0		1.0	grey shark	4.0	white shark	456.0
14	14	514	pink	17616	False	False	False	True	True	pink		17616.0		1.0					
15	15	487	elephant	15994	False	False	True	False	False		elephant		15994.0		1.0	grey elephant	13.0	white elephant	251.0
16	16	519	orange	15508	False	False	False	True	True	orange		15508.0		1.0					
17	17	490	goat	14588	False	False	True	False	False		goat		14588.0		1.0	white goat	13.0	black goat	38.0
18	18	505	sheep	14547	False	False	True	False	False		sheep		14547.0		1.0	white sheep	43.0	black sheep	866.0
19	19	501	pigeon	8449	False	False	True	False	False		pigeon		8449.0		1.0	grey pigeon	4.0	white pigeon	22.0
20	20	523	amber	8412	False	False	False	True	True	amber		8412.0		1.0					
21	21	517	spots	8401	False	False	False	True	True	spots		8401.0		1.0					
22	22	485	deer	7936	False	False	True	False	False		deer		7936.0		1.0	brown deer	2.0	red deer	103.0
23	23	484	crow	7850	False	False	True	False	False		crow		7850.0		1.0	black crow	141.0	white crow	45.0
24	24	521	tan	7093	False	False	False	True	True	tan		7093.0		1.0					
25	25	486	dolphin	6285	False	False	True	False	False		dolphin		6285.0		1.0	grey dolphin	7.0	blue dolphin	19.0
26	26	508	swan	6153	False	False	True	False	False		swan		6153.0		1.0	white swan	175.0	black swan	322.0
27	27	491	gorilla	5594	False	False	True	False	False		gorilla		5594.0		1.0	black gorilla	6.0	white gorilla	18.0
28	28	499	panther	4562	False	False	True	False	False		panther		4562.0		1.0	black panther	724.0	pink panther	338.0
29	29	481	beaver	4005	False	False	True	False	False		beaver		4005.0		1.0	brown beaver	7.0	black beaver	10.0
30	30	498	panda	3735	False	False	True	False	False		panda		3735.0		1.0	black panda	4.0	red panda	67.0
31	31	482	boar	3173	False	False	True	False	False		boar		3173.0		1.0	brown boar	0.0	blue boar	40.0
32	32	503	rhino	2517	False	False	True	False	False		rhino		2517.0		1.0	grey rhino	0.0	black rhino	94.0
33	33	509	zebra	2465	False	False	True	False	False		zebra		2465.0		1.0	black zebra	6.0	blue zebra	9.0
34	34	506	skunk	2392	False	False	True	False	False		skunk		2392.0		1.0	black skunk	2.0	white skunk	4.0
35	35	489	giraffe	2320	False	False	True	False	False		giraffe		2320.0		1.0	brown giraffe	1.0	yellow giraffe	5.0
36	36	502	polar_bear	2014	False	False	True	False	False		polar_bear		2014.0		1.0	white polar_bear	9.0	brown polar_bear	1.0
37	37	497	mammoth	1970	False	False	True	False	False		mammoth		1970.0		1.0	brown mammoth	0.0	gold mammoth	0.0
38	38	492	grizzly	1945	False	False	True	False	False		grizzly		1945.0		1.0	brown grizzly	4.0	grey grizzly	1.0
39	39	483	cheetah	1927	False	False	True	False	False		cheetah		1927.0		1.0	brown cheetah	0.0	spots cheetah	8.0
40	40	493	hippo	1778	False	False	True	False	False		hippo		1778.0		1.0	grey hippo	0.0	pink hippo	3.0
41	41	488	flamingo	1259	False	False	True	False	False		flamingo		1259.0		1.0	pink flamingo	102.0	black flamingo	3.0
42	42	507	sloth	1005	False	False	True	False	False		sloth		1005.0		1.0	brown sloth	0.0	gold sloth	0.0
43	43	496	llama	881	False	False	True	False	False		llama		881.0		1.0	brown llama	1.0	black llama	0.0
44	44	401	black sheep	866	True	True	False	False	False	black	sheep	144548.0	14547.0	0.005991089465091181	0.059531174812676155	white sheep	43.0	black sheep	866.0
45	45	305	black panther	724	True	True	False	False	False	black	panther	144548.0	4562.0	0.005008716827628192	0.158702323542306	black panther	724.0	pink panther	338.0
46	46	387	white shark	456	True	True	False	False	False	white	shark	134712.0	17984.0	0.0033849991092107607	0.025355871886120998	grey shark	4.0	white shark	456.0
47	47	494	killer_whale	439	False	False	True	False	False		killer_whale		439.0		1.0	black killer_whale	0.0	grey killer_whale	1.0
48	48	522	tawny	352	False	False	False	True	True	tawny		352.0		1.0					
49	49	308	pink panther	338	True	True	False	False	False	pink	panther	17616.0	4562.0	0.019187102633969118	0.07409031126698816	black panther	724.0	pink panther	338.0
50	50	449	black swan	322	True	True	False	False	False	black	swan	144548.0	6153.0	0.002227633727204804	0.05233219567690557	white swan	175.0	black swan	322.0
51	51	115	white elephant	251	True	True	False	False	False	white	elephant	134712.0	15994.0	0.0018632341587980284	0.015693385019382267	grey elephant	13.0	white elephant	251.0
52	52	254	red lion	196	True	True	False	False	False	red	lion	121668.0	22565.0	0.0016109412499589046	0.008686018169731885	brown lion	1.0	red lion	196.0
53	53	451	white swan	175	True	True	False	False	False	white	swan	134712.0	6153.0	0.001299067640596235	0.02844141069397042	white swan	175.0	black swan	322.0
54	54	116	pink elephant	165	True	True	False	False	False	pink	elephant	17616.0	15994.0	0.009366485013623978	0.01031636863823934	grey elephant	13.0	white elephant	251.0
55	55	65	black crow	141	True	True	False	False	False	black	crow	144548.0	7850.0	0.0009754545202977558	0.017961783439490446	black crow	141.0	white crow	45.0
56	56	94	red deer	103	True	True	False	False	False	red	deer	121668.0	7936.0	0.0008465660650294243	0.012978830645161291	brown deer	2.0	red deer	103.0
57	57	132	pink flamingo	102	True	True	False	False	False	pink	flamingo	17616.0	1259.0	0.0057901907356948225	0.08101667990468626	pink flamingo	102.0	black flamingo	3.0
58	58	241	black lion	98	True	True	False	False	False	black	lion	144548.0	22565.0	0.0006779754821927664	0.0043430090848659425	brown lion	1.0	red lion	196.0
59	59	369	black rhino	94	True	True	False	False	False	black	rhino	144548.0	2517.0	0.0006503030135318372	0.03734604688120779	grey rhino	0.0	black rhino	94.0
60	60	371	white rhino	73	True	True	False	False	False	white	rhino	134712.0	2517.0	0.0005418967872201437	0.029002781088597537	grey rhino	0.0	black rhino	94.0
61	61	243	white lion	72	True	True	False	False	False	white	lion	134712.0	22565.0	0.0005344735435595938	0.0031907821847994683	brown lion	1.0	red lion	196.0
62	62	302	red panda	67	True	True	False	False	False	red	panda	121668.0	3735.0	0.0005506788966696256	0.0179384203480589	black panda	4.0	red panda	67.0
63	63	1	black bat	63	True	True	False	False	False	black	bat	144548.0	20680.0	0.00043584138140963555	0.00304642166344294	black bat	63.0	brown bat	10.0
64	64	321	black pig	52	True	True	False	False	False	black	pig	144548.0	39569.0	0.00035974209259208013	0.001314160074806035	pink pig	27.0	black pig	52.0
65	65	255	gold lion	50	True	True	False	False	False	gold	lion	71065.0	22565.0	0.0007035812284528249	0.0022158209616662972	brown lion	1.0	red lion	196.0
66	66	394	blue shark	49	True	True	False	False	False	blue	shark	78290.0	17984.0	0.000625878145357006	0.002724644128113879	grey shark	4.0	white shark	456.0
67	67	67	white crow	45	True	True	False	False	False	white	crow	134712.0	7850.0	0.00033404596472474615	0.005732484076433121	black crow	141.0	white crow	45.0
68	68	403	white sheep	43	True	True	False	False	False	white	sheep	134712.0	14547.0	0.0003191994774036463	0.0029559359318072453	white sheep	43.0	black sheep	866.0
69	69	42	blue boar	40	True	True	False	False	False	blue	boar	78290.0	3173.0	0.0005109209349853111	0.012606366214938543	brown boar	0.0	blue boar	40.0
70	70	161	black goat	38	True	True	False	False	False	black	goat	144548.0	14588.0	0.0002628884522788278	0.0026048807238826435	white goat	13.0	black goat	38.0
71	71	250	blue lion	37	True	True	False	False	False	blue	lion	78290.0	22565.0	0.0004726018648614127	0.0016397075116330602	brown lion	1.0	red lion	196.0
